case_name,seed,face_x_idx,face_x_coord,borehole_name,Q_face_mean,Qp_face_mean,Q_bh_mean,Q_bh_median,Qp_bh_mean,Qp_bh_median,RQD_bh_mean,Jn_bh_mean,RQD_borehole_direct_mean,RQD_borehole_direct_median,RQD_borehole_hudson_mean,RQD_borehole_hudson_median,lambda_borehole_mean,borehole_n_intersections_sum,RQD_face_scanline,RQD_face_jv,RQD_face_conservative,lambda_face_scanline,face_scanline_n_intersections,Jv_face,Jv_method,Jr_bh_mean,Ja_bh_mean,Jw_bh_mean,SRF_bh_mean,Q_ratio_bh_to_face,Qp_ratio_bh_to_face,face_fracture_count,bh_fracture_count,common_fracture_count,missed_fracture_count,miss_ratio,detection_ratio,bh_window_length,bh_fracture_frequency,face_fracture_density,bh_union_fracture_frequency,common_fracture_density,missed_fracture_density,orientation_bias_bh,face_orientation_bias,orientation_bias_gap_to_face,Q_match_strict,Q_match_normal,Q_match_loose,Qp_match_strict,Qp_match_normal,Qp_match_loose
granite_dense_p32_05,40,10,10.5,Center,10.476626373084157,11.594688044265077,8.342222502919585,8.170113211766639,11.146930952506526,11.545982255278789,93.39926963530556,4.0,93.39926963530556,93.383931465657,94.00748679259156,93.8448064449895,3.7142857142857144,26,96.6363903594775,98.5,96.6363903594775,2.7,27,5.0,P32_derived_Jv_proxy,1.1739750616942126,2.490569208708299,0.8190682357572294,1.1443117334358373,0.7962699256271906,0.9613825667366689,356,26,12,344,0.9662921348314607,0.033707865168539325,7.0,3.7142857142857144,4.532732779257179,3.7142857142857144,0.15278874536821951,4.379944033888959,0.3419684300965099,0.3392163457155766,-0.0027520843809333284,0,1,1,1,1,1
granite_dense_p32_05,40,20,20.5,Center,9.12470879401084,11.493591143013463,10.251333626065328,11.532577225089414,13.121023435524624,12.086968636702153,97.20047748061462,4.0,97.20047748061462,100.0,98.52082682122337,98.24769036935783,1.7142857142857142,12,96.61820753457052,98.5,96.61820753457052,2.5,25,5.0,P32_derived_Jv_proxy,1.2417748921500986,2.3659073810511195,0.7437915959255893,0.969117620128164,1.12346967530558,1.1415947611378554,363,12,3,360,0.9917355371900827,0.008264462809917356,7.0,1.7142857142857142,4.621859547388641,1.7142857142857142,0.03819718634205488,4.583662361046586,0.27378486203799157,0.3505744545428692,0.0767895925048776,1,1,1,1,1,1
granite_dense_p32_05,40,30,30.5,Center,9.725092428015781,11.096707283159445,12.875145525309737,13.43193108892308,11.14982759860508,12.392179582366445,97.19660302101317,4.0,97.19660302101317,100.0,98.40417802143001,98.24769036935783,1.7142857142857142,12,94.37425082672782,98.5,94.37425082672782,3.7,37,5.0,P32_derived_Jv_proxy,1.227563951095578,2.7570662353987565,0.8622720667942148,0.8314782712972022,1.3239098363959367,1.0047870340354252,383,12,3,380,0.9921671018276762,0.007832898172323759,7.0,1.7142857142857142,4.876507456335673,1.7142857142857142,0.03819718634205488,4.8383102699936185,0.2888062923184146,0.35074965573838957,0.06194336341997497,0,1,1,1,1,1
granite_dense_p32_05,41,10,10.5,Center,10.07387506918147,11.646476748309116,10.475852289908184,11.284621989214575,11.98833819416431,11.597207600318661,97.75613483224585,4.0,97.75613483224585,100.0,95.85025691229835,98.24769036935783,3.0,21,96.82383391369677,98.5,96.82383391369677,2.5,25,5.0,P32_derived_Jv_proxy,1.204163564359119,2.4855797321897612,0.8055916184226878,0.9860304434894659,1.0399029388359662,1.0293532072611424,395,21,5,390,0.9873417721518988,0.012658227848101266,7.0,3.0,5.029296201703892,3.0,0.06366197723675814,4.965634224467134,0.28995074575862056,0.3386841374495815,0.048733391690960914,1,1,1,1,1,1
granite_dense_p32_05,41,20,20.5,Center,9.470988795399792,11.39345260849501,10.301064239796675,9.641612685417309,11.182695049462167,10.97549595812125,98.26194682462013,4.0,98.26194682462013,100.0,96.56873345487756,98.24769036935783,2.4285714285714284,17,97.60155094987869,98.5,97.60155094987869,3.0,30,5.0,P32_derived_Jv_proxy,1.1026728112122903,2.471742835299284,0.8095182796292922,0.9271311344271851,1.0876440108133232,0.9815018707432283,369,17,8,361,0.978319783197832,0.02168021680216802,7.0,2.4285714285714284,4.698253920072751,2.4285714285714284,0.10185916357881301,4.596394756493937,0.29815666563815235,0.360444166058571,0.06228750042041864,1,1,1,1,1,1
granite_dense_p32_05,41,30,30.5,Center,10.561197889007433,11.47095530582423,7.916848184227513,8.460646860680368,12.290673282942299,12.285633595433248,91.7518253258896,4.0,91.7518253258896,94.55106772241288,95.72941289569418,96.30636868862332,2.857142857142857,20,98.11077507982291,98.5,98.11077507982291,2.8,28,5.0,P32_derived_Jv_proxy,1.1568392223832975,2.232723699208998,0.7718460786688566,1.220577777324236,0.7496164987560476,1.071460306074235,374,20,9,365,0.9759358288770054,0.02406417112299465,7.0,2.857142857142857,4.761915897309509,2.857142857142857,0.11459155902616464,4.647324338283344,0.28401351092733285,0.35449205679562845,0.0704785458682956,0,1,1,1,1,1
granite_dense_p32_05,42,10,10.5,Center,10.338223322672851,11.580046527303015,8.27050022995654,8.001368892911312,10.29644577304757,10.310741314634699,97.70311839066825,4.0,97.70311839066825,100.0,95.70589677638384,96.30636868862332,2.7142857142857144,19,95.42893403169764,98.5,95.42893403169764,2.1,21,5.0,P32_derived_Jv_proxy,1.0731205868289533,2.654153600750337,0.8150001345730925,1.1321174642336316,0.7999924137659544,0.889154093532438,401,19,8,393,0.9800498753117207,0.0199501246882793,7.0,2.7142857142857144,5.105690574388002,2.7142857142857144,0.10185916357881301,5.003831410809189,0.3126388013731749,0.3411782608433258,0.028539459470150907,0,1,1,1,1,1
granite_dense_p32_05,42,20,20.5,Center,10.531705250484352,11.141907223202022,8.052182430141844,7.588543998330463,10.109100648620478,11.109665841544626,92.70214726851633,4.0,92.70214726851633,94.74906317962697,95.78091858244242,96.30636868862332,2.7142857142857144,19,96.48062572701959,98.5,96.48062572701959,3.2,32,5.0,P32_derived_Jv_proxy,1.127948311661586,2.6269592564399624,0.7644015684490808,0.9881928594745883,0.7645658740564854,0.9073043282544287,384,19,4,380,0.9895833333333334,0.010416666666666666,7.0,2.7142857142857144,4.8892398517830244,2.7142857142857144,0.05092958178940651,4.8383102699936185,0.28688588364437595,0.34585258353301573,0.058966699888639784,0,1,1,1,1,1
granite_dense_p32_05,42,30,30.5,Center,10.521742393533847,11.526434446184023,6.759403081639531,6.170366913778765,9.966545347108438,9.52807122458761,92.9869091182422,4.0,92.9869091182422,92.55384086819593,96.17839254207853,98.24769036935783,2.7142857142857144,19,95.9265615960463,98.5,95.9265615960463,2.8,28,5.0,P32_derived_Jv_proxy,1.1479086541644712,2.6613521317116318,0.7768853968134881,1.2377868911251515,0.6424224076987033,0.8646685489464605,373,19,4,369,0.9892761394101877,0.010723860589812333,7.0,2.7142857142857144,4.749183501862157,2.7142857142857144,0.05092958178940651,4.698253920072751,0.2798330787643105,0.3347020096297757,0.05486893086546518,0,0,1,1,1,1
granite_dense_p32_05,43,10,10.5,Center,9.961131307572549,11.316519211313787,9.47280319372865,9.367296468630972,10.907263833922459,10.400473116953043,94.4959297489836,4.0,94.4959297489836,92.82187004674718,95.17093544133422,96.30636868862332,3.2857142857142856,23,95.39422541879384,98.5,95.39422541879384,3.2,32,5.0,P32_derived_Jv_proxy,1.1403154914148828,2.5106192310560504,0.7595460118482924,0.9278134162271445,0.9509766412302318,0.9638355779061311,427,23,13,414,0.9695550351288056,0.03044496487119438,7.0,3.2857142857142856,5.436732856019145,3.2857142857142856,0.16552114081557115,5.271211715203574,0.2694231211787369,0.3445310332325039,0.07510791205376699,1,1,1,1,1,1
granite_dense_p32_05,43,20,20.5,Center,10.000302209627199,11.36998951492622,9.45379930846028,9.136973560408192,10.829841325446639,10.681902978794664,93.32331061753554,4.0,93.32331061753554,100.0,95.41063242799103,98.24769036935783,2.857142857142857,20,94.39586728554005,98.5,94.39586728554005,3.4,34,5.0,P32_derived_Jv_proxy,1.2478486252914147,2.7010196980872974,0.7675669163349912,0.8959169352762667,0.9453513614177774,0.9524935191215006,402,20,10,392,0.9751243781094527,0.024875621890547265,7.0,2.857142857142857,5.118422969835354,2.857142857142857,0.12732395447351627,4.991099015361837,0.27819583767247447,0.331951918486047,0.05375608081357253,1,1,1,1,1,1
granite_dense_p32_05,43,30,30.5,Center,10.187627875387689,11.640563283812046,10.088825938691837,8.683575388969171,11.099006414244384,11.459997999313135,97.72535578122232,4.0,97.72535578122232,100.0,94.38642638347561,98.24769036935783,3.2857142857142856,23,94.63925970241152,98.5,94.63925970241152,3.9,39,5.0,P32_derived_Jv_proxy,1.2134803115576567,2.6953744056577906,0.7844426100891507,0.9205059872507112,0.9903017721196367,0.9534767470985894,423,23,11,412,0.9739952718676123,0.026004728132387706,7.0,3.2857142857142856,5.385803274229738,3.2857142857142856,0.1400563499208679,5.24574692430887,0.2877791759385573,0.32777819761104887,0.039999021672491586,1,1,1,1,1,1
granite_dense_p32_05,44,10,10.5,Center,9.703303667229543,11.630568830955808,8.360182851500294,7.917834371530856,10.322934494709715,10.32829870739784,91.15653435927975,4.0,91.15653435927975,91.65627258353122,94.48899034361041,96.30636868862332,3.4285714285714284,24,98.53229470532571,98.5,98.5,2.2,22,5.0,P32_derived_Jv_proxy,1.1502249196954693,2.5200917046528453,0.8097820186114705,1.1524995211685758,0.8615810798269357,0.8875691846846127,354,24,7,347,0.980225988700565,0.01977401129943503,7.0,3.4285714285714284,4.507267988362476,3.4285714285714284,0.08912676813146139,4.418141220231014,0.2743419965709074,0.35027412848329775,0.07593213191239034,1,1,1,1,1,1
granite_dense_p32_05,44,20,20.5,Center,10.708232760913946,11.573526399753053,9.410133181671599,10.007398251972347,11.723172426065277,11.080936396795398,96.26176171751624,4.0,96.26176171751624,96.73842641179569,96.5093802768855,96.30636868862332,2.857142857142857,20,96.1018166509752,98.5,96.1018166509752,3.0,30,5.0,P32_derived_Jv_proxy,1.1413906123881925,2.377185715201235,0.8048331815063978,1.0172143625861205,0.8787755544518483,1.0129300285101883,379,20,7,372,0.9815303430079155,0.018469656992084433,7.0,2.857142857142857,4.8255778745462665,2.857142857142857,0.08912676813146139,4.736451106414806,0.21832711590188203,0.3333214093419773,0.11499429344009526,1,1,1,1,1,1
granite_dense_p32_05,44,30,30.5,Center,10.140716856746398,11.521851760686063,8.336527230828334,7.7812612238336785,9.78265155813792,9.009661348992218,90.03809224372013,4.0,90.03809224372013,90.7361934739109,92.9188241321697,96.30636868862332,4.0,28,96.51933461824387,98.5,96.51933461824387,2.5,25,5.0,P32_derived_Jv_proxy,1.1277807984999835,2.609859023962843,0.8373758707606299,1.0355057161517147,0.8220846068966243,0.8490520240433483,385,28,11,374,0.9714285714285714,0.02857142857142857,7.0,4.0,4.901972247230376,4.0,0.1400563499208679,4.761915897309509,0.22446963925394592,0.3539153162637191,0.12944567700977316,1,1,1,1,1,1
granite_dense_p32_05,45,10,10.5,Center,10.001198651060307,11.449416676979453,9.072500138738857,7.6646543028409715,10.84520971777162,10.132640209678332,96.14153862692264,4.0,96.14153862692264,99.2402373599234,96.61854956998526,96.30636868862332,2.7142857142857144,19,95.12181171002597,98.5,95.12181171002597,3.6,36,5.0,P32_derived_Jv_proxy,1.1668010913707605,2.584193622577987,0.7406953331156718,0.9438091422844682,0.9071412792882589,0.9472281447820246,395,19,7,388,0.9822784810126582,0.017721518987341773,7.0,2.7142857142857144,5.029296201703892,2.7142857142857144,0.08912676813146139,4.940169433572431,0.26783798852380514,0.3580390843560799,0.09020109583227476,1,1,1,1,1,1
granite_dense_p32_05,45,20,20.5,Center,10.720544758316835,12.063162704309663,11.506278235954634,10.409449110278008,11.577426847129074,11.88775055687932,95.09201577454391,4.0,95.09201577454391,97.73012397147203,96.80203894349923,96.30636868862332,2.5714285714285716,18,97.4200005769915,98.5,97.4200005769915,2.5,25,5.0,P32_derived_Jv_proxy,1.1714431517353758,2.45673401935244,0.7680191966405924,0.9245737855503283,1.0732923088659498,0.959733954594921,375,18,8,367,0.9786666666666667,0.021333333333333333,7.0,2.5714285714285716,4.77464829275686,2.5714285714285716,0.10185916357881301,4.672789129178047,0.28537402393462896,0.3319573706637614,0.04658334672913245,1,1,1,1,1,1
