case_name,seed,n_faces,Q_ratio_mean,Q_ratio_std,Q_ratio_median,Q_log_ratio_mean,Q_log_ratio_std,Q_correlation,Q_match_strict,Q_match_normal,Q_match_loose,Qp_ratio_mean,Qp_ratio_std,Qp_ratio_median,Qp_correlation,Qp_match_strict,Qp_match_normal,Qp_match_loose,Q_log_RMSE,diagnostic_face_rqd_mean,diagnostic_face_rqd_min_dir,diagnostic_bh_rqd_mean,diagnostic_face_rqd_scanline_mean,diagnostic_face_rqd_jv_mean,diagnostic_face_rqd_conservative_mean,diagnostic_bh_rqd_direct_mean,diagnostic_bh_rqd_hudson_mean,diagnostic_lambda_borehole_mean,diagnostic_lambda_face_scanline_mean,diagnostic_face_joints_mean,diagnostic_miss_ratio_union_mean,diagnostic_miss_ratio_union_std,diagnostic_detection_ratio_union_mean,diagnostic_detection_ratio_union_std,diagnostic_face_fracture_density_mean,diagnostic_face_fracture_density_std,diagnostic_bh_fracture_frequency_mean,diagnostic_bh_fracture_frequency_std,diagnostic_bh_union_fracture_frequency_mean,diagnostic_bh_union_fracture_frequency_std,diagnostic_face_orientation_bias_mean,diagnostic_face_orientation_bias_std,diagnostic_bh_union_orientation_bias_mean,diagnostic_bh_union_orientation_bias_std,diagnostic_orientation_bias_gap_mean,diagnostic_orientation_bias_gap_std
granite_good_dense,42,8,1.0120319877714001,0.08864192679802944,0.9890951548564808,0.0035370523067093373,0.037890880529737936,0.5993599882705605,100.0,100.0,100.0,0.9904522090029244,0.03806834737686922,0.9954587949250149,0.2665622385593051,100.0,100.0,100.0,0.038055611496062854,100.0,100.0,98.04648499506983,100.0,100.0,100.0,98.04648499506983,98.8059154752248,1.1964285714285714,0.1875,98.125,0.9586096043670539,0.020305652904526413,0.0413903956329461,0.02030565290452639,1.2493663032713784,0.10942408727941605,1.1964285714285714,0.27606472917393404,1.1964285714285714,0.27606472917393404,0.11763431786733929,0.013348563759460435,0.09194413806143409,0.027049621570895414,0.025690179805905197,0.028594969319601017
granite_good_dense,43,8,0.9769859069093615,0.1493670488008434,0.947709988603211,-0.015217813801057994,0.06672598595931482,-0.16580550110157477,75.0,100.0,100.0,1.0018789257515281,0.0574174174288361,1.016967655933566,0.08755055711807988,100.0,100.0,100.0,0.06843930931216613,100.0,100.0,98.47969470492893,100.0,100.0,100.0,98.47969470492893,99.06938879967922,1.1071428571428572,0.175,99.0,0.9580015288175825,0.021794135641679823,0.04199847118241745,0.02179413564167984,1.260507149287811,0.09485420975075166,1.1071428571428572,0.31743551490412814,1.1071428571428572,0.31743551490412814,0.11503690697725066,0.009338289269281088,0.10583447554771881,0.03603345027470212,0.009202431429531852,0.03537308744249803
granite_good_dense,44,8,1.1033487001571105,0.14220281776881735,1.0454057638898875,0.03946165382581984,0.05181720770102149,-0.12621917710921973,87.5,100.0,100.0,1.0099814415811046,0.05676061564220977,1.0075965412107522,0.09998945263048807,100.0,100.0,100.0,0.0651325198084616,100.0,100.0,99.16141573437469,100.0,100.0,100.0,99.16141573437469,99.06139219759456,1.0178571428571428,0.17500000000000002,97.625,0.9703681127426114,0.02641610219255736,0.029631887257388554,0.026416102192557384,1.2430001055477027,0.12983571129891014,1.0178571428571428,0.35310214166580695,1.0178571428571428,0.35310214166580695,0.11110601176596582,0.009373073606427255,0.09179054284931579,0.03177271162164059,0.019315468916650036,0.036166770830526156
granite_good_dense,45,8,1.1201332237117083,0.18699981522687067,1.0918058807881774,0.04348040565631742,0.07028429072345742,0.3495833733570565,75.0,87.5,100.0,1.0562550629006346,0.0929846014035093,1.0205103052732891,0.0946739405907728,87.5,100.0,100.0,0.08264639858177368,99.87883427881653,99.87883427881653,98.7774329035559,99.87883427881653,100.0,99.87883427881653,98.7774329035559,99.17877856820306,1.0178571428571428,0.25,96.75,0.9742835905384418,0.013678842111340447,0.025716409461558166,0.01367884211134044,1.2318592595312698,0.10855253869718516,1.0178571428571428,0.3149141444383643,1.0178571428571428,0.3149141444383643,0.1121640956324253,0.012572757280956014,0.10318260774716959,0.016795201018841948,0.008981487885255712,0.02326443267829073
granite_good_dense,46,8,1.0994714082222103,0.08476443571776973,1.1125249989982735,0.03985923805237945,0.0341465755182149,-0.11641271349114696,100.0,100.0,100.0,1.0539744568984648,0.05231944952954898,1.0634440895871358,-0.08530457830655334,100.0,100.0,100.0,0.05248568831345748,100.0,100.0,98.97729436690526,100.0,100.0,100.0,98.97729436690526,99.12086371841237,1.0,0.3125,100.5,0.9696113133683192,0.015096917351313676,0.030388686631680786,0.015096917351313658,1.2796057424588385,0.09159363518053841,1.0,0.3912303982179758,1.0,0.3912303982179758,0.1154993709116066,0.016355353977786532,0.09542013103683715,0.025271108329727964,0.02007923987476945,0.02231041253409077
granite_good_dense,47,8,1.0161795002167868,0.14670717606672282,0.9915415879709754,0.0023585540803092997,0.06369827640002149,0.07047914559626901,75.0,100.0,100.0,1.0327817764807512,0.06344094548554141,1.0592783402099377,0.5419899260343368,100.0,100.0,100.0,0.06374192649805369,100.0,100.0,97.77468942476716,100.0,100.0,100.0,97.77468942476716,98.97115891788054,1.2321428571428572,0.15000000000000002,90.875,0.9643097343256588,0.022156964180387914,0.035690265674341165,0.022156964180387904,1.157056436278079,0.12086348353259578,1.2321428571428572,0.28515570397627343,1.2321428571428572,0.28515570397627343,0.11975379502418534,0.0077190548663479755,0.10056324143359814,0.021828421117028162,0.019190553590587203,0.026198775355099475
granite_good_dense,48,8,0.9648310133969463,0.16322978177671527,0.8993239058665331,-0.021535464937792015,0.0714966071846483,0.2788083467661725,75.0,100.0,100.0,1.0455349953294824,0.10688089823447032,1.0188866825523513,-0.010733403325927631,100.0,100.0,100.0,0.07466954592739113,100.0,100.0,97.96383527505574,100.0,100.0,100.0,97.96383527505574,99.08246456114655,1.125,0.2,94.75,0.9602890495621246,0.018653349534603337,0.03971095043787545,0.018653349534603344,1.2063944686365666,0.12744326478031995,1.125,0.406813776781947,1.125,0.406813776781947,0.10549694704879575,0.010616263235563835,0.08999192273970595,0.03982988019533934,0.015505024309089802,0.03528893858681007
granite_good_dense,49,8,1.0752169910958433,0.10144154451928938,1.0945044178894954,0.02960311340912672,0.04035823380809331,0.11888661153028914,87.5,100.0,100.0,1.0148473577398014,0.059693804211894616,1.0114549184154906,0.0328507465272218,100.0,100.0,100.0,0.05005128729235986,100.0,100.0,99.07209054116674,100.0,100.0,100.0,99.07209054116674,98.99859654207208,1.107142857142857,0.225,97.125,0.9653076026257366,0.019900078016978195,0.03469239737426337,0.019900078016978205,1.2366339078240267,0.09013004991968233,1.107142857142857,0.3174355149041282,1.107142857142857,0.3174355149041282,0.11878646563646689,0.013018715472359279,0.11431831914075156,0.02810758750030487,0.004468146495715322,0.023797156869503802
granite_good_dense,50,8,1.003032923800749,0.17804802627577246,0.9320716849780222,-0.005253737453389529,0.0747818818654788,0.034254047508100904,75.0,100.0,100.0,0.9820586349257323,0.08388050547160786,1.013855414279314,0.44182969034210173,100.0,100.0,100.0,0.07496620313562355,99.94295377029826,99.94295377029826,96.98790277277257,99.94295377029826,100.0,99.94295377029826,96.98790277277257,98.60142504895614,1.3571428571428572,0.18750000000000003,98.125,0.9664594909893248,0.01525583024088835,0.03354050901067515,0.015255830240888361,1.2493663032713784,0.17311346883420844,1.3571428571428572,0.41032590332414487,1.3571428571428572,0.41032590332414487,0.11004472347495912,0.010803599485950912,0.08375450790620358,0.037651897407019706,0.02629021556875555,0.04190522616858402
granite_good_dense,51,8,1.1479144458512385,0.2758804997533425,1.1406582174420674,0.046649710161125374,0.10924551836061996,0.43182279513258137,50.0,87.5,100.0,0.9842813966114505,0.08308971451282633,0.972484126816417,0.19086961334709124,100.0,100.0,100.0,0.11878879888271267,99.9385957776788,99.9385957776788,98.12328794261211,99.9385957776788,100.0,99.9385957776788,98.12328794261211,99.04240770979182,1.1785714285714286,0.275,95.875,0.9650137589093869,0.013066476106433147,0.03498624109061312,0.013066476106433144,1.2207184135148372,0.10074646183053369,1.1785714285714286,0.34809979802889157,1.1785714285714286,0.34809979802889157,0.11758200182300084,0.008141268777356976,0.10739277539693931,0.030051776372988226,0.010189226426061529,0.03426124878600226
